Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,72.05,-75.05,90.0,top
C2,10uF,C_0805_2012Metric,100.05,-59.0,0.0,top
C3,10uF,C_0805_2012Metric,124.0,-75.05,-90.0,top
D1,~,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,60.89449,-57.10551,-135.0,top
D2,~,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,100.265,-54.0,180.0,top
D3,~,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,130.098439,-56.098439,135.0,top
D4,~,Osram_SFH205,68.730744,-54.562149,45.0,top
D5,~,Osram_SFH205,93.705,-57.5,0.0,top
D6,~,Osram_SFH205,122.43785,-54.730744,-45.0,top
Q1,NPN,SOT-23,66.0625,-71.0,-90.0,top
Q2,NPN,SOT-23,106.0625,-61.0,0.0,top
Q3,NPN,SOT-23,123.0625,-68.0,0.0,top
R1,100Ω,LED_0805_2012Metric,66.0,-62.662913,-135.0,top
R2,100Ω,R_0805_2012Metric,111.0,-67.0,90.0,top
R3,100Ω,LED_0805_2012Metric,126.337087,-60.337087,-45.0,top
R4,7.5KΩ,R_0603_1608Metric,60.0,-68.175,-90.0,top
R5,7.5kΩ,R_0603_1608Metric,100.0,-69.0,0.0,top
R6,7.5kΩ,R_0603_1608Metric,130.0,-70.175,90.0,top
R7,100kΩ,R_0805_2012Metric,60.0,-75.0875,90.0,top
R8,100kΩ,R_0805_2012Metric,100.0875,-64.0,0.0,top
R9,100kΩ,R_0805_2012Metric,130.0875,-75.0875,-90.0,top
